13080913.4213,4715059.60968,0.016
13080913.4213,4715059.60968,0.015
13080913.4324,4715059.60968,0.015
13080913.4324,4715059.60968,0.025
13080913.4324,4715059.60968,0.025
13080913.4324,4715059.60968,0.025
13080913.4325,4715059.62401,0.024
13080913.4324,4715059.60968,0.024
13080913.4324,4715059.60968,0.024
13080913.4324,4715059.60968,0.023
13080913.4325,4715059.62401,0.023
13080913.4324,4715059.60968,0.023
13080913.4324,4715059.60968,0.022
13080913.4324,4715059.60968,0.022
13080913.4324,4715059.60968,0.022
13080913.4324,4715059.60968,0.028
13080913.4324,4715059.60968,0.028
13080913.4325,4715059.62401,0.019
13080913.4325,4715059.62401,0.018
13080913.4325,4715059.62401,0.019
13080913.4324,4715059.60968,0.019
13080913.4324,4715059.60968,0.017
13080913.4324,4715059.60968,0.017
13080913.4324,4715059.60968,0.019
13080913.4324,4715059.59535,0.041
13080913.4098,4715059.55235,0.090
13080913.4098,4715059.55235,0.144
13080913.3871,4715059.46636,0.213
13080913.353,4715059.33737,0.283
13080913.2963,4715059.16538,0.336
13080913.2963,4715059.16538,0.407
13080913.2283,4715058.9504,0.484
13080913.1489,4715058.67809,0.543
13080913.1489,4715058.67809,0.624
13080913.0468,4715058.34845,0.734
13080912.9335,4715057.99014,0.970
13080912.8087,4715057.57451,1.174
13080912.6612,4715057.08722,1.194
13080912.6612,4715057.08722,1.468
13080912.5025,4715056.57126,1.507
13080912.3211,4715055.99798,1.550
13080912.1396,4715055.38169,1.594
13080911.9354,4715054.70808,1.642
13080911.9354,4715054.70808,1.701
13080911.7087,4715053.99148,1.758
13080911.4817,4715053.21754,1.812
13080911.2322,4715052.40061,1.854
13080911.2322,4715052.40061,1.909
13080910.9602,4715051.54068,1.967
13080910.688,4715050.63776,2.027
13080910.4043,4715049.69184,2.088
13080910.4043,4715049.69184,2.591
13080910.0981,4715048.68859,2.877
13080909.7806,4715047.65667,2.912
13080909.7806,4715047.65667,3.163
13080909.4517,4715046.56743,3.188
13080909.1114,4715045.44952,3.614
13080908.7485,4715044.27429,3.661
13080908.7485,4715044.27429,3.695
13080908.3855,4715043.05606,3.745
13080908.0112,4715041.8235,3.783
13080908.0112,4715041.8235,3.817
13080907.6367,4715040.54794,3.857
13080907.2508,4715039.24371,3.895
13080906.8537,4715037.91083,3.937
13080906.8537,4715037.91083,3.976
13080906.4452,4715036.53494,4.018
13080906.0255,4715035.1304,4.065
13080905.5945,4715033.71152,4.409
13080905.1632,4715032.23531,4.452
13080905.1632,4715032.23531,4.610
13080904.7206,4715030.74477,4.650
13080904.278,4715029.22557,6.611
13080903.8128,4715027.6777,6.656
13080903.8128,4715027.6777,6.686
13080903.3587,4715026.10117,6.728
13080902.8822,4715024.49598,6.768
13080902.8822,4715024.49598,6.799
13080902.4054,4715022.86212,6.837
13080901.9286,4715021.21393,6.875
13080901.4293,4715019.52274,6.920
13080900.93,4715017.81722,6.950
13080900.93,4715017.81722,6.964
13080900.4306,4715016.12603,6.958
13080899.9425,4715014.43485,6.940
13080899.9425,4715014.43485,6.605
13080899.4433,4715012.77233,6.493
13080898.9553,4715011.1098,6.467
13080898.4674,4715009.47595,6.387
13080898.4674,4715009.47595,6.369
13080897.9797,4715007.85642,8.308
13080897.5031,4715006.25123,8.289
13080897.5031,4715006.25123,8.274
13080897.0155,4715004.66037,8.250
13080896.539,4715003.08384,8.229
13080896.539,4715003.08384,8.212
13080896.0627,4715001.52165,8.193
13080895.5977,4714999.98812,8.174
13080895.1215,4714998.45459,8.155
13080895.1215,4714998.45459,8.141
13080894.6565,4714996.93539,8.122
13080894.1916,4714995.43052,8.105
13080893.7268,4714993.93999,8.087
13080893.7268,4714993.93999,7.580
13080893.262,4714992.44946,7.177
13080892.7861,4714990.98759,7.157
13080892.3215,4714989.52572,6.570
13080892.3215,4714989.52572,6.334
13080891.8569,4714988.07818,6.180
13080891.3924,4714986.64498,6.074
13080890.9279,4714985.2261,6.053
13080890.4635,4714983.80723,5.979
13080890.4635,4714983.80723,5.909
13080889.9992,4714982.41702,5.894
13080889.5349,4714981.02682,5.847
13080889.0818,4714979.65094,5.830
13080889.0818,4714979.65094,5.787
